name,comm_code,census_year,population,occupied dwellings,persons per unit,notes
BEDDINGTON HEIGHTS,BED,2009,11951,4221,2.83,
CANYON MEADOWS,CAN,2004,7982,3008,2.65,
WILLOW PARK,WIL,1982,7012,2183,3.21,
HAWKWOOD,HAW,1990,6537,1916,3.41,
CHAPARRAL,CHA,2017,12964,4133,3.14,
KINGSLAND,KIN,1975,5113,2064,2.48,
RED CARPET,RED,1992,1258,503,2.5,
CHRISTIE PARK,CHR,2001,2319,719,3.23,
GREENVIEW,GRV,2017,2036,1032,1.97,
DOUGLASDALE/GLEN,DDG,2002,11962,3940,3.04,
CANYON MEADOWS,CAN,2000,8436,3110,2.71,
BRIDGELAND/RIVERSIDE,BRD,1978,4846,2139,2.27,
COVENTRY HILLS,COV,1974,0,0,0,
UPPER MOUNT ROYAL,UMR,2001,2630,1035,2.54,
SAGE HILL,SGH,1968,0,0,0,
SPRINGBANK HILL,SPH,2013,9208,3055,3.01,
CRANSTON,CRA,1974,0,0,0,
PINERIDGE,PIN,2014,10122,3685,2.75,
CRESTMONT,CRM,1980,0,0,0,
MARLBOROUGH,MRL,1980,9904,2879,3.44,
BRIDLEWOOD,BRI,1984,0,0,0,
WHITEHORN,WHI,2016,12374,3680,3.36,
STRATHCONA PARK,STR,2001,6143,2002,3.07,
HAMPTONS,HAM,1978,0,0,0,
SUNALTA,SNA,1990,3085,1918,1.61,
WALDEN,WAL,2012,935,368,2.54,
ERIN WOODS,ERI,2016,7034,2362,2.98,
